PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
71229,Leonberg,Pferdemarkt,,,,06.02.2026–10.02.2026,06.02.2026,10.02.2026
44135,Dortmund,Karnevalskirmes,,,,12.02.2026–16.02.2026,12.02.2026,16.02.2026
46236,Bottrop,Karnevalskirmes,,,,12.02.2026–16.02.2026,12.02.2026,16.02.2026
44787,Bochum,Karnevalskirmes,,,,14.02.2026–17.02.2026,14.02.2026,17.02.2026
99817,Eisenach,Sommergewinn,,,,13.03.2026–22.03.2026,13.03.2026,22.03.2026
44866,Bochum,Gertrudiskirmes Bochum-Wattenscheid,,,,14.03.2026–22.03.2026,14.03.2026,22.03.2026
97070,Würzburg,Frühjahrsvolksfest,30.03.2025–14.04.2025,30.03.2025,14.04.2025,14.03.2026–29.03.2026,14.03.2026,29.03.2026
34117,Kassel,Frühjahrsmesse,23.03.2025–07.04.2025,23.03.2025,07.04.2025,21.03.2026–05.04.2026,21.03.2026,05.04.2026
44801,Bochum,Frühlingskirmes,22.03.2025–31.03.2025,22.03.2025,31.03.2025,21.03.2026–30.03.2026,21.03.2026,30.03.2026
86150,Augsburg,Frühjahrsplärrer,29.03.2025–14.04.2025,29.03.2025,14.04.2025,28.03.2026–12.04.2026,28.03.2026,12.04.2026
59065,Hamm,Frühjahrsmarkt,29.03.2025–06.04.2025,29.03.2025,06.04.2025,28.03.2026–05.04.2026,28.03.2026,05.04.2026
23552,Lübeck,Osterkirmes,05.04.2025–13.04.2025,05.04.2025,13.04.2025,03.04.2026–12.04.2026,03.04.2026,12.04.2026
97070,Würzburg,Ostermesse,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
47051,Duisburg,Osterkirmes,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
35390,Gießen,Ostermarkt,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
34117,Kassel,Ostermarkt,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
47051,Duisburg,Frühlingskirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
99084,Erfurt,Osterkirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
20095,Hamburg,Osterdom,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
97421,Schweinfurt,Ostermarkt,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
71229,Leonberg,Pferdemarkt,,,,06.02.2026–10.02.2026,06.02.2026,10.02.2026
44135,Dortmund,Karnevalskirmes,,,,12.02.2026–16.02.2026,12.02.2026,16.02.2026
46236,Bottrop,Karnevalskirmes,,,,12.02.2026–16.02.2026,12.02.2026,16.02.2026
44787,Bochum,Karnevalskirmes,,,,14.02.2026–17.02.2026,14.02.2026,17.02.2026
99817,Eisenach,Sommergewinn,15.03.2025–24.03.2025,15.03.2025,24.03.2025,13.03.2026–22.03.2026,13.03.2026,22.03.2026
44866,Bochum,Gertrudiskirmes Bochum-Wattenscheid,16.03.2025–24.03.2025,16.03.2025,24.03.2025,14.03.2026–22.03.2026,14.03.2026,22.03.2026
97070,Würzburg,Frühjahrsvolksfest,30.03.2025–14.04.2025,30.03.2025,14.04.2025,14.03.2026–29.03.2026,14.03.2026,29.03.2026
34117,Kassel,Frühjahrsmesse,23.03.2025–07.04.2025,23.03.2025,07.04.2025,21.03.2026–05.04.2026,21.03.2026,05.04.2026
44801,Bochum,Frühlingskirmes,22.03.2025–31.03.2025,22.03.2025,31.03.2025,21.03.2026–30.03.2026,21.03.2026,30.03.2026
86150,Augsburg,Frühjahrsplärrer,29.03.2025–14.04.2025,29.03.2025,14.04.2025,28.03.2026–12.04.2026,28.03.2026,12.04.2026
59065,Hamm,Frühjahrsmarkt,29.03.2025–06.04.2025,29.03.2025,06.04.2025,28.03.2026–05.04.2026,28.03.2026,05.04.2026
23552,Lübeck,Osterkirmes,05.04.2025–13.04.2025,05.04.2025,13.04.2025,03.04.2026–12.04.2026,03.04.2026,12.04.2026
97070,Würzburg,Ostermesse,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
47051,Duisburg,Osterkirmes,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
35390,Gießen,Ostermarkt,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
34117,Kassel,Ostermarkt,05.04.2025–13.04.2025,05.04.2025,13.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
47051,Duisburg,Frühlingskirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
99084,Erfurt,Osterkirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
20095,Hamburg,Osterdom,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
97421,Schweinfurt,Ostermarkt,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
66111,Saarbrücken,Osterkirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
44787,Bochum,Osterkirmes,06.04.2025–14.04.2025,06.04.2025,14.04.2025,04.04.2026–12.04.2026,04.04.2026,12.04.2026
28195,Bremen,Osterwiese,06.04.2025–21.04.2025,06.04.2025,21.04.2025,04.04.2026–19.04.2026,04.04.2026,19.04.2026
70173,Stuttgart,Frühlingsfest,18.04.2025–11.05.2025,18.04.2025,11.05.2025,17.04.2026–10.05.2026,17.04.2026,10.05.2026
68161,Mannheim,Maimarkt,26.04.2025–07.05.2025,26.04.2025,07.05.2025,25.04.2026–06.05.2026,25.04.2026,06.05.2026
65185,Wiesbaden,Frühlingsfest,11.04.2025–21.04.2025,11.04.2025,21.04.2025,10.04.2026–20.04.2026,10.04.2026,20.04.2026
01067,Dresden,Frühjahrsmesse,24.04.2025–11.05.2025,24.04.2025,11.05.2025,23.04.2026–10.05.2026,23.04.2026,10.05.2026
04109,Leipzig,Frühjahrsmarkt,24.04.2025–11.05.2025,24.04.2025,11.05.2025,23.04.2026–10.05.2026,23.04.2026,10.05.2026
89073,Ulm,Frühjahrsmesse,25.04.2025–11.05.2025,25.04.2025,11.05.2025,24.04.2026–10.05.2026,24.04.2026,10.05.2026
90403,Nürnberg,Frühlingsfest,27.04.2025–12.05.2025,27.04.2025,12.05.2025,26.04.2026–11.05.2026,26.04.2026,11.05.2026
79104,Freiburg,Frühjahrsmesse,25.04.2025–11.05.2025,25.04.2025,11.05.2025,24.04.2026–10.05.2026,24.04.2026,10.05.2026
86150,Augsburg,Frühlingsfest,25.04.2025–11.05.2025,25.04.2025,11.05.2025,24.04.2026–10.05.2026,24.04.2026,10.05.2026
99084,Erfurt,Frühjahrsmesse,26.04.2025–11.05.2025,26.04.2025,11.05.2025,25.04.2026–10.05.2026,25.04.2026,10.05.2026
70173,Stuttgart,Weindorf,28.08.2025–08.09.2025,28.08.2025,08.09.2025,27.08.2026–07.09.2026,27.08.2026,07.09.2026
80331,München,Frühlingsfest,18.04.2025–04.05.2025,18.04.2025,04.05.2025,17.04.2026–03.05.2026,17.04.2026,03.05.2026
44135,Dortmund,Osterkirmes,12.04.2025–28.04.2025,12.04.2025,28.04.2025,11.04.2026–27.04.2026,11.04.2026,27.04.2026
86150,Augsburg,Augsburger Plärrer (Herbst),23.08.2025–08.09.2025,23.08.2025,08.09.2025,22.08.2026–07.09.2026,22.08.2026,07.09.2026
28195,Bremen,Freimarkt,18.10.2025–02.11.2025,18.10.2025,02.11.2025,16.10.2026–01.11.2026,16.10.2026,01.11.2026
44787,Bochum,Herbstkirmes,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
12359,Berlin,Berliner Herbstrummel,19.09.2025–19.10.2025,19.09.2025,19.10.2025,18.09.2026–18.10.2026,18.09.2026,18.10.2026
PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
70372,Stuttgart,Cannstatter Volksfest,26.09.2025–12.10.2025,26.09.2025,12.10.2025,25.09.2026–11.10.2026,25.09.2026,11.10.2026
80331,München,Oktoberfest,20.09.2025–05.10.2025,20.09.2025,05.10.2025,19.09.2026–04.10.2026,19.09.2026,04.10.2026
45894,Gelsenkirchen,Herbstkirmes,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
59227,Ahlen,Herbstkirmes,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
24103,Kiel,Kieler Woche,21.06.2025–29.06.2025,21.06.2025,29.06.2025,20.06.2026–28.06.2026,20.06.2026,28.06.2026
44787,Bochum,Frühjahrskirmes,15.03.2025–24.03.2025,15.03.2025,24.03.2025,14.03.2026–23.03.2026,14.03.2026,23.03.2026
